date,last_update,country,tests_performed,total_currently_positive,total_positive,new_positive,old_positive,home_confinment,total_hospitalized,hospitalized_with_symptoms,intensive_care,recovered,released,deaths
2020-02-25,2020-03-26 10:08:11,CH,0,1,1,,0,0,0,0,0,0,0,0
2020-02-26,2020-03-26 10:08:11,CH,0,2,2,1,1,0,1,0,0,0,0,0
2020-02-27,2020-03-26 10:08:11,CH,3,3,3,1,2,0,1,0,0,0,0,0
2020-02-28,2020-03-26 10:08:11,CH,3,9,9,6,3,0,9,0,0,0,0,0
2020-02-29,2020-03-26 10:08:11,CH,3,12,12,3,9,0,10,0,0,0,0,0
2020-03-01,2020-03-26 10:08:11,CH,33,17,17,5,12,0,11,0,0,0,0,0
2020-03-02,2020-03-26 10:08:11,CH,268,23,23,6,17,0,13,0,0,0,0,0
2020-03-03,2020-03-26 10:08:11,CH,680,41,41,18,23,0,17,0,0,0,0,0
2020-03-04,2020-03-26 10:08:11,CH,684,50,50,9,41,0,22,0,1,0,0,0
2020-03-05,2020-03-26 10:08:11,CH,686,82,82,32,50,0,23,0,1,0,0,0
2020-03-06,2020-03-26 10:08:11,CH,693,133,133,51,82,0,26,0,2,0,1,1
2020-03-07,2020-03-26 10:08:11,CH,693,169,169,36,133,0,27,0,4,0,0,1
2020-03-08,2020-03-26 10:08:11,CH,693,205,205,36,169,0,35,0,3,0,0,2
2020-03-09,2020-03-26 10:08:11,CH,1150,245,245,40,205,0,50,0,9,0,2,3
2020-03-10,2020-03-26 10:08:11,CH,1163,320,320,75,245,0,63,0,11,1,5,5
2020-03-11,2020-03-26 10:08:11,CH,1176,392,392,72,320,0,70,0,14,7,1,6
2020-03-12,2020-03-26 10:08:11,CH,1183,751,751,359,392,0,80,0,15,11,1,7
2020-03-13,2020-03-26 10:08:11,CH,1193,1068,1068,317,751,0,169,0,31,11,0,8
2020-03-14,2020-03-26 10:08:11,CH,1226,1376,1376,308,1068,0,170,0,36,11,5,12
2020-03-15,2020-03-26 10:08:11,CH,1226,1583,1583,207,1376,0,197,0,45,11,5,18
2020-03-16,2020-03-26 10:08:11,CH,1472,2212,2212,629,1583,0,231,0,51,11,0,27
2020-03-17,2020-03-26 10:08:11,CH,1502,2749,2749,537,2212,0,304,0,69,11,25,30
2020-03-18,2020-03-26 10:08:11,CH,1587,3754,3754,1005,2749,0,373,0,69,11,36,37
2020-03-19,2020-03-26 10:08:11,CH,1587,4952,4952,1198,3754,0,515,0,92,11,0,43
2020-03-20,2020-03-26 10:08:11,CH,1587,6429,6429,1477,4952,0,581,0,96,11,46,67
2020-03-21,2020-03-26 10:08:11,CH,1587,7233,7233,804,6429,0,668,0,98,11,0,83
2020-03-22,2020-03-26 10:08:11,CH,1587,7802,7802,569,7233,0,812,0,117,11,73,98
2020-03-23,2020-03-26 10:08:11,CH,1587,9227,9227,1425,7802,0,888,0,144,11,91,118
2020-03-24,2020-03-26 10:08:11,CH,1587,9919,9919,692,9227,0,1009,0,153,11,100,137
2020-03-25,2020-03-26 10:08:11,CH,1644,10748,10748,829,9919,0,1059,0,172,11,250,154
2020-03-26,2020-03-26 10:08:11,CH,1644,10863,10863,115,10748,0,1059,0,172,11,0,155
